Reference, Quantity, Value, Footprint,
C1 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C2 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C3 C30 C31 C32 C34 C35 C4 C48 C5 C6 C7 C8 C9 ,35,.1u,Capacitors_SMD:C_0603_HandSoldering,
C33 ,1,470p,Capacitors_SMD:C_0603_HandSoldering,
C41 C46 C47 ,3,47p,Capacitors_SMD:C_0603_HandSoldering,
C49 ,1,22u,Capacitors_SMD:C_0805_HandSoldering,
CON1 ,1,3-1775333-2,pads:FPC_32,
CON2 ,1,DC2R019JA7R1700,jumper:DC2R019JA7R1700,
D1 ,1,150060BS75000,Capacitors_SMD:C_0603_HandSoldering,Blue LED
D2 D3 D4 ,3,SP3012-04UTG,digikey-footprints:UFDFN-10_2.5x1mm,
C36 C37 C38 C39 C40 C42 C43 C44 C45 C50 L1 L2 L3 L4 ,14,10u,Capacitors_SMD:C_0603_HandSoldering,
R1 R18 ,2,470,Capacitors_SMD:C_0603_HandSoldering,
R11 ,1,880,Capacitors_SMD:C_0603_HandSoldering,
R12 R13 R15 R17 R2 R20 R3 R4 R7 ,9,10K,Capacitors_SMD:C_0603_HandSoldering,
R14 ,1,22,Capacitors_SMD:C_0603_HandSoldering,
R10 R16 R5 R6 R8 R9 ,6,2K,Capacitors_SMD:C_0603_HandSoldering,
SW1 ,1,SW_DIP_x02,Buttons_Switches_SMD:SW_DIP_x2_W7.62mm_Slide_Copal_CHS-B,AliExpress: https://www.aliexpress.com/item/5pcs-lot-Slide-Type-SMT-SMD-Dip-Switch-1-27-mm-Pitch-2-Row-4-Pin/32812377062.html?spm=a2g0s.9042311.0.0.56844c4dcvKGc7
U1 ,1,MCP1826S-1202E/DB,digikey-footprints:SOT-223,
U2 ,1,MIC5219-2.5YM5-TR,digikey-footprints:SOT-753,
U3 ,1,LP5907MFX-1.8/NOPB,digikey-footprints:SOT-753,
U4 ,1,ADV7513BSWZ,Analog:LQFP-64_10x10mm_Pitch0.5mm_PAD,
U5 ,1,664G-03LF,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
U6 ,1,10CL025YE144C8G,Altera:altera144_wcenterpad,
U7 ,1,MX25L1606EM1I-12G,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U8 ,1,ESP-07S,ESP12FLAT:ESP-07S,
